Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
1982.08,999.499631047359,
1982.09,958.254171737928,
1982.10,922.233428496443,
1982.11,1243.31997713111,
1982.12,1149.25089680883,
1983.01,1052.96182499361,
1983.02,974.602234202656,
1983.03,908.967891451787,
1983.04,852.967168461415,
1983.05,1179.47159727385,
1983.06,1064.18592195682,
1983.07,955.038481878367,
1983.08,869.426673725761,
1983.09,781.348505123744,
1983.10,709.693974964347,
1983.11,1085.64036920713,
1983.12,1002.03173146847,
1984.01,916.009182062135,
1984.02,834.732668239435,
1984.03,760.001339912448,
1984.04,693.909857985067,
1984.05,1085.95752324607,
1984.06,987.578097270189,
1984.07,905.13946374981,
1984.08,833.689137796087,
1984.09,750.381923555109,
1984.10,679.132003758912,
1984.11,1055.0919044536,
1984.12,945.23818983724,
1985.01,845.191975785757,
1985.02,761.788498449782,
1985.03,692.884133173572,
1985.04,638.108745803077,
1985.05,1190.4695647951,
1985.06,1098.88296413195,
1985.07,998.292289198301,
1985.08,894.425904709297,
1985.09,812.467759351731,
1985.10,736.930345904662,
1985.11,1162.45177859536,
1985.12,1004.27476145493,
1986.01,873.20793872612,
1986.02,776.395063967339,
1986.03,1008.36762381634,
1986.04,1004.05019210682,
1986.05,993.367775745893,
1986.06,983.86928123282,
1986.07,975.021864103904,
1986.08,961.265596062586,
1986.09,949.945919859546,
1986.10,936.535340986057,
1986.11,906.723871374269,
1986.12,845.307749099174,
1987.01,868.346717550347,
1987.02,762.086621144534,
1987.03,944.577176760186,
1987.04,780.906633017408,
1987.05,760.996469683868,
1987.06,752.834156811338,
1987.07,684.827215264762,
1987.08,651.689785398206,
1987.09,740.954256522851,
1987.10,735.071888734153,
1987.11,726.798992352883,
1987.12,765.254629328649,
1988.01,804.047207926775,
1988.02,814.618548780615,
1988.03,815.248047219677,
1988.04,801.581877855939,
1988.05,813.515605682356,
1988.06,791.747723739212,
1988.07,772.461571748609,
1988.08,800.289696698785,
1988.09,768.662348555663,
1988.10,758.409536108162,
1988.11,769.108404109181,
1988.12,785.995683287719,
1989.01,780.344580601327,
1989.02,788.187314103491,
1989.03,744.27510015995,
1989.04,688.761032949844,
1989.05,752.026265347899,
1989.06,856.752993895326,
1989.07,839.492275668568,
1989.08,811.620562673698,
1989.09,769.921553724189,
1989.10,848.990267347064,
1989.11,834.872498554295,
1989.12,780.461790066718,
1990.01,755.917115400444,
1990.02,678.234174707961,
1990.03,682.413044822781,
1990.04,595.110355280061,
1990.05,554.571201791056,
1990.06,521.586626071709,
1990.07,588.834812981746,
1990.08,556.868306931375,
1990.09,567.249547400255,
1990.10,525.906765269804,
1990.11,583.121285188639,
1990.12,519.249117641821,
1991.01,598.800225573845,
1991.02,642.463108106488,
1991.03,614.641480302247,
1991.04,585.32481764186,
1991.05,548.673697565531,
1991.06,495.051706703945,
1991.07,441.451004855826,
1991.08,381.819178116152,
1991.09,815.864482035717,
1991.10,673.83166463089,
1991.11,532.760933382973,
1991.12,429.126842585697,
1992.01,779.254477564163,
1992.02,626.005563278786,
1992.03,514.724186855918,
1992.04,425.954254176125,
1992.05,819.372915538301,
1992.06,678.008170816615,
1992.07,555.380364626273,
1992.08,453.816188907009,
1992.09,831.048610238291,
1992.10,659.19666536144,
1992.11,536.411829460981,
1992.12,427.147759027985,
1993.01,794.494154103546,
1993.02,636.664781302002,
1993.03,682.0542240615,
1993.04,531.318913930599,
1993.05,809.85794096868,
1993.06,621.199537159103,
1993.07,666.005728641841,
1993.08,595.740840844551,
1993.09,762.43887013617,
1993.10,711.57040835561,
1993.11,653.625288674322,
1993.12,592.699111814741,
1994.01,735.116276308162,
1994.02,681.162620071236,
1994.03,559.094447966064,
1994.04,556.574918170464,
1994.05,560.875917555125,
1994.06,542.87961286399,
1994.07,494.43073467139,
1994.08,485.447759134538,
1994.09,517.242926625175,
1994.10,503.057039094209,
1994.11,488.593235913091,
1994.12,480.424066373916,
1995.01,473.605167889362,
1995.02,468.867724165393,
1995.03,461.391423613054,
1995.04,450.180796926633,
1995.05,629.886584517715,
1995.06,616.447787502507,
1995.07,601.647958575345,
1995.08,595.571423753961,
1995.09,588.682877237424,
1995.10,580.55537293317,
1995.11,571.921373693541,
1995.12,562.638281604663,
1996.01,554.542671439336,
1996.02,550.635249734987,
1996.03,549.043274162961,
1996.04,543.982597312593,
1996.05,601.561778190028,
1996.06,593.667396980701,
1996.07,586.629219647821,
1996.08,583.712281167695,
1996.09,583.596034696405,
1996.10,581.387571551387,
1996.11,579.416318818927,
1996.12,577.508966826027,
1997.01,572.867653766787,
1997.02,570.299314530369,
1997.03,566.44914089347,
1997.04,563.071037162498,
1997.05,602.625663773431,
1997.06,600.525342684092,
1997.07,599.446750436644,
1997.08,599.62483289361,
1997.09,599.027402874545,
1997.10,597.296939293162,
1997.11,596.401882637661,
1997.12,593.02250421473,
1998.01,588.024638264222,
1998.02,584.868362953967,
1998.03,582.017383662651,
1998.04,579.411792849379,
1998.05,623.210800613454,
1998.06,622.277565844303,
1998.07,624.023849969422,
1998.08,627.096053916379,
1998.09,629.046131716838,
1998.10,628.353197952871,
1998.11,629.485924615985,
1998.12,626.852074317774,
1999.01,622.805069918213,
1999.02,614.87406266738,
1999.03,607.102371886402,
1999.04,604.262253015139,
1999.05,631.835327076989,
1999.06,631.395182860709,
1999.07,626.757265592891,
1999.08,623.329362762271,
1999.09,620.908314214624,
1999.10,615.006068365125,
1999.11,609.280655471563,
1999.12,604.804683516413,
2000.01,601.137801581739,
2000.02,600.837052231337,
2000.03,600.056510442689,
2000.04,665.640556359823,
2000.05,665.973010937967,
2000.06,663.979117000814,
2000.07,654.876867824911,
2000.08,647.047470293155,
2000.09,644.276698677295,
2000.10,643.247161335061,
2000.11,641.386835902738,
2000.12,637.877504768851,
2001.01,633.002171861925,
2001.02,629.914629897545,
2001.03,626.90495304364,
2001.04,741.080268318694,
2001.05,736.880248022483,
2001.06,732.486981566819,
2001.07,724.445469927702,
2001.08,718.765841030104,
2001.09,715.618823582377,
2001.10,708.955854640335,
2001.11,699.925912063232,
2001.12,694.786034313188,
2002.01,687.431694579895,
2002.02,685.30883692354,
2002.03,681.087621383923,
2002.04,751.651052555978,
2002.05,750.975869033697,
2002.06,746.42132623304,
2002.07,737.934348314312,
2002.08,731.640705911594,
2002.09,725.617440875124,
2002.10,714.401431951944,
2002.11,690.978892388348,
2002.12,672.812468749553,
2003.01,656.594356457728,
2003.02,647.145094949753,
2003.03,638.39921921949,
2003.04,755.651666213547,
2003.05,748.244951278067,
2003.06,748.694315893594,
2003.07,748.393578374464,
2003.08,747.048181357537,
2003.09,740.972309628696,
2003.10,738.09497274801,
2003.11,735.373832181055,
2003.12,731.424183466132,
2004.01,725.403226841571,
2004.02,722.583713704882,
2004.03,718.489676916296,
2004.04,715.557412542256,
2004.05,772.09806171734,
2004.06,768.258239919691,
2004.07,762.691497975708,
2004.08,758.897404856442,
2004.09,757.610872793268,
2004.10,756.325581012303,
2004.11,753.010933867932,
2004.12,746.589409761034,
2005.01,742.358894354157,
2005.02,739.105790511448,
2005.03,733.74978028475,
2005.04,727.13272262294,
2005.05,833.167826394621,
2005.06,834.085953795898,
2005.07,833.836547767993,
2005.08,833.836547767993,
2005.09,832.588480712795,
2005.10,827.788519000245,
2005.11,823.344146384102,
2005.12,820.062685007835,
2006.01,816.958410589899,
2006.02,815.082649395801,
2006.03,812.887970051703,
2006.04,947.232108309804,
2006.05,946.003527593278,
2006.06,946.666347608017,
2006.07,945.627256455758,
2006.08,945.81535460179,
2006.09,944.30544840703,
2006.10,940.261975023196,
2006.11,936.330982928639,
2006.12,930.562277714005,
2007.01,926.024598606028,
2007.02,922.153038847117,
2007.03,918.112532862001,
2007.04,994.223652632514,
2007.05,991.645450851464,
2007.06,988.581581961266,
2007.07,985.42805541484,
2007.08,979.649083112854,
2007.09,977.206290269738,
2007.10,974.283899627632,
2007.11,970.111701762437,
2007.12,960.792618547402,
